spotify,shazam,tiktok,youtube,airplay_score,tiktok_streams,mentions,label
2,0,0,0,5,0,50,2
1,2,0,0,4,0,50,2
1,0,3,0,3,95607,50,2
0,2,0,0,5,0,50,2
1,2,0,2,0,0,28,1
1,2,0,2,0,0,50,1
1,0,3,0,0,110101,50,1
1,0,0,0,4,0,50,1
2,2,0,0,0,0,0,1
0,0,3,0,0,123412,0,0
1,0,0,2,0,0,0,0
2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,2,2,2,5,900000,75,2
2,2,1,1,3,650000,55,2
0,1,0,0,4,0,20,1
1,2,0,2,0,0,50,2
1,0,0,0,6,0,50,2
1,0,3,0,0,110101,50,2
1,0,0,0,10,0,50,2
2,2,0,0,0,0,50,1
2,0,0,0,16,0,50,1
0,2,0,0,19,0,50,1
0,0,3,0,0,123412,50,1
0,0,3,0,0,932425,0,1
0,0,3,0,0,408954,0,1
0,0,3,0,0,148880,0,1
0,0,3,0,0,390799,3,1
0,0,3,0,0,497211,0,1
0,0,3,0,0,689749,0,1
0,0,3,0,0,723471,0,1
